,experiment,target,lang,translator,model,tw,type,f1,support,soubor,tweet,red
337,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'llama2', 'tweet': 'tweet', 'red': 'red'}",ru,hu,deepl,llama2,,all,92,103,r_ru_hu_deepl_llama2_epoch_ref_tweet_reduced_3.csv,tweet,red
109,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'mistral', 'tweet': 'tweet', 'red': 'red'}",ua,hu,deepl,mistral,,all,91.5,107,r_ua_hu_deepl_mistral_epoch_ref_tweet_reduced_3.csv,tweet,red
353,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'llama2', 'red': 'red', 'tweet': 'no'}",ru,hu,deepl,llama2,,all,90,103,r_ru_hu_deepl_llama2_epoch_reduced_3.csv,no,red
133,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'helsinki', 'model': 'llama2', 'red': 'red', 'tweet': 'no'}",ru,pl,helsinki,llama2,,all,89.2,102,r_ru_pl_helsinki_llama2_epoch_reduced_3.csv,no,red
79,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'mistral', 'red': 'red', 'tweet': 'no'}",ua,pl,deepl,mistral,,all,88.3,95,r_ua_pl_deepl_mistral_epoch_reduced_5.csv,no,red
77,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'helsinki', 'model': 'llama2', 'tweet': 'tweet', 'red': 'red'}",ru,pl,helsinki,llama2,,all,88.2,102,r_ru_pl_helsinki_llama2_epoch_ref_tweet_reduced_3.csv,tweet,red
268,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'mistral', 'red': 'red', 'tweet': 'no'}",ru,pl,deepl,mistral,,all,88.2,102,r_ru_pl_deepl_mistral_epoch_reduced_3.csv,no,red
269,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'mistral', 'red': 'red', 'tweet': 'no'}",ru,cs,deepl,mistral,,all,84,362,r_ru_cs_deepl_mistral_epoch_reduced_3.csv,no,red
191,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'llama2', 'red': 'red', 'tweet': 'no'}",ru,cs,origin,llama2,,all,81.3,362,r_ru_cs_origin_llama2_epoch_reduced_3.csv,no,red
179,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'llama2', 'red': 'red', 'tweet': 'no'}",ua,cs,deepl,llama2,,all,87.9,298,r_ua_cs_deepl_llama2_epoch_reduced_3.csv,no,red
252,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'mistral', 'red': 'red', 'tweet': 'no'}",ru,hu,origin,mistral,,all,87.9,103,r_ru_hu_origin_mistral_epoch_reduced_3.csv,no,red
146,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'llama2', 'tweet': 'tweet', 'red': 'red'}",ua,cs,deepl,llama2,,all,87.6,298,r_ua_cs_deepl_llama2_epoch_ref_tweet_reduced_3.csv,tweet,red
207,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'helsinki', 'model': 'llama2', 'tweet': 'tweet', 'red': 'red'}",ua,pl,helsinki,llama2,,all,87.3,95,r_ua_pl_helsinki_llama2_epoch_ref_tweet_reduced_5.csv,tweet,red
335,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'llama2', 'red': 'red', 'tweet': 'no'}",ru,hu,helsinki,llama2,,all,87.3,103,r_ru_hu_helsinki_llama2_epoch_reduced_3.csv,no,red
251,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'llama2', 'red': 'red', 'tweet': 'no'}",ru,pl,deepl,llama2,,all,87.3,102,r_ru_pl_deepl_llama2_epoch_reduced_3.csv,no,red
120,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'mistral', 'tweet': 'tweet', 'red': 'red'}",ru,hu,deepl,mistral,,all,86.9,103,r_ru_hu_deepl_mistral_epoch_ref_tweet_reduced_3.csv,tweet,red
149,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'llama2', 'red': 'red', 'tweet': 'no'}",ua,hu,deepl,llama2,,all,86.9,107,r_ua_hu_deepl_llama2_epoch_reduced_3.csv,no,red
213,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'mistral', 'tweet': 'tweet', 'red': 'red'}",ua,hu,helsinki,mistral,,all,86.9,107,r_ua_hu_helsinki_mistral_epoch_ref_tweet_reduced_3.csv,tweet,red
156,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'mistral', 'red': 'red', 'tweet': 'no'}",ua,hu,deepl,mistral,,all,86.9,107,r_ua_hu_deepl_mistral_epoch_reduced_3.csv,no,red
276,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'llama3', 'tweet': 'tweet', 'red': 'red'}",ru,cs,deepl,llama3,,all,86.6,362,r_ru_cs_deepl_llama3_epoch_ref_tweet_reduced_5.csv,tweet,red
219,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'llama2', 'tweet': 'tweet', 'red': 'red'}",ru,hu,helsinki,llama2,,all,86.3,103,r_ru_hu_helsinki_llama2_epoch_ref_tweet_reduced_3.csv,tweet,red
177,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'mistral', 'tweet': 'tweet', 'red': 'red'}",ru,pl,deepl,mistral,,all,86.3,102,r_ru_pl_deepl_mistral_epoch_ref_tweet_reduced_3.csv,tweet,red
76,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'llama2', 'tweet': 'tweet', 'red': 'red'}",ru,pl,deepl,llama2,,all,86.3,102,r_ru_pl_deepl_llama2_epoch_ref_tweet_reduced_3.csv,tweet,red
55,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'mistral', 'red': 'red', 'tweet': 'no'}",ru,hu,helsinki,mistral,,all,86.2,103,r_ru_hu_helsinki_mistral_epoch_reduced_3.csv,no,red
58,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'llama2', 'red': 'red', 'tweet': 'no'}",ru,pl,origin,llama2,,all,86.2,102,r_ru_pl_origin_llama2_epoch_reduced_3.csv,no,red
8,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'llama2', 'tweet': 'tweet', 'red': 'red'}",ua,pl,deepl,llama2,,all,86.2,95,r_ua_pl_deepl_llama2_epoch_ref_tweet_reduced_5.csv,tweet,red
329,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'llama2', 'tweet': 'tweet', 'red': 'red'}",ua,cs,helsinki,llama2,,all,86.2,298,r_ua_cs_helsinki_llama2_epoch_ref_tweet_reduced_3.csv,tweet,red
90,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'llama2', 'tweet': 'tweet', 'red': 'red'}",ru,cs,deepl,llama2,,all,86.1,362,r_ru_cs_deepl_llama2_epoch_ref_tweet_reduced_3.csv,tweet,red
49,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'llama2', 'red': 'red', 'tweet': 'no'}",ua,hu,origin,llama2,,all,85.9,107,r_ua_hu_origin_llama2_epoch_reduced_2.csv,no,red
324,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'mistral', 'red': 'red', 'tweet': 'no'}",ua,hu,origin,mistral,,all,85.9,107,r_ua_hu_origin_mistral_epoch_reduced_3.csv,no,red
116,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'llama3', 'red': 'red', 'tweet': 'no'}",ru,cs,deepl,llama3,,all,84,362,r_ru_cs_deepl_llama3_epoch_reduced_5.csv,no,red
145,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'mistral', 'tweet': 'tweet', 'red': 'red'}",ru,pl,origin,mistral,,all,85.3,102,r_ru_pl_origin_mistral_epoch_ref_tweet_reduced_3.csv,tweet,red
223,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'mistral', 'tweet': 'tweet', 'red': 'red'}",ru,hu,origin,mistral,,all,85.3,103,r_ru_hu_origin_mistral_epoch_ref_tweet_reduced_3.csv,tweet,red
256,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'mistral', 'tweet': 'tweet', 'red': 'red'}",ua,pl,deepl,mistral,,all,85.3,95,r_ua_pl_deepl_mistral_epoch_ref_tweet_reduced_5.csv,tweet,red
84,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'mistral', 'red': 'red', 'tweet': 'no'}",ru,pl,origin,mistral,,all,85.2,102,r_ru_pl_origin_mistral_epoch_reduced_3.csv,no,red
313,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'mistral', 'tweet': 'tweet', 'red': 'red'}",ua,pl,origin,mistral,,all,85.2,95,r_ua_pl_origin_mistral_epoch_ref_tweet_reduced_4.csv,tweet,red
334,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'llama2', 'red': 'red', 'tweet': 'no'}",ua,cs,helsinki,llama2,,all,85.2,298,r_ua_cs_helsinki_llama2_epoch_reduced_3.csv,no,red
336,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'llama3', 'red': 'red', 'tweet': 'no'}",ru,cs,helsinki,llama3,,all,#REF!,362,r_ru_cs_helsinki_llama3_epoch_reduced_5.csv,no,red
154,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'mistral', 'tweet': 'tweet', 'red': 'red'}",ru,cs,deepl,mistral,,all,85,362,r_ru_cs_deepl_mistral_epoch_ref_tweet_reduced_3.csv,tweet,red
164,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'mistral', 'tweet': 'tweet', 'red': 'red'}",ru,hu,helsinki,mistral,,all,85,103,r_ru_hu_helsinki_mistral_epoch_ref_tweet_reduced_3.csv,tweet,red
239,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'llama3', 'red': 'red', 'tweet': 'no'}",ua,hu,deepl,llama3,,all,85,107,r_ua_hu_deepl_llama3_epoch_reduced_5.csv,no,red
287,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'mistral', 'tweet': 'tweet', 'red': 'red'}",ua,cs,deepl,mistral,,all,84.9,298,r_ua_cs_deepl_mistral_epoch_ref_tweet_reduced_3.csv,tweet,red
355,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'mistral', 'tweet': 'tweet', 'red': 'red'}",ua,hu,origin,mistral,,all,84.9,107,r_ua_hu_origin_mistral_epoch_ref_tweet_reduced_2.csv,tweet,red
113,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'mistral', 'tweet': 'tweet', 'red': 'red'}",ua,cs,helsinki,mistral,,all,84.6,298,r_ua_cs_helsinki_mistral_epoch_ref_tweet_reduced_3.csv,tweet,red
166,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'llama3', 'red': 'red', 'tweet': 'no'}",ua,cs,helsinki,llama3,,all,84.1,298,r_ua_cs_helsinki_llama3_epoch_reduced_5.csv,no,red
271,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'helsinki', 'model': 'llama2', 'red': 'red', 'tweet': 'no'}",ua,pl,helsinki,llama2,,all,84,95,r_ua_pl_helsinki_llama2_epoch_reduced_5.csv,no,red
340,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'mistral', 'red': 'red', 'tweet': 'no'}",ua,pl,origin,mistral,,all,84,95,r_ua_pl_origin_mistral_epoch_reduced_5.csv,no,red
327,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'mistral', 'red': 'red', 'tweet': 'no'}",ua,cs,deepl,mistral,,all,83.9,298,r_ua_cs_deepl_mistral_epoch_reduced_3.csv,no,red
248,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'mistral', 'red': 'red', 'tweet': 'no'}",ua,cs,helsinki,mistral,,all,83.9,298,r_ua_cs_helsinki_mistral_epoch_reduced_3.csv,no,red
310,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'mistral', 'red': 'red', 'tweet': 'no'}",ru,hu,deepl,mistral,,all,83.9,103,r_ru_hu_deepl_mistral_epoch_reduced_3.csv,no,red
124,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'llama2', 'tweet': 'tweet', 'red': 'red'}",ua,cs,origin,llama2,,all,83.7,298,r_ua_cs_origin_llama2_epoch_ref_tweet_reduced_3.csv,tweet,red
142,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'llama2', 'tweet': 'tweet', 'red': 'red'}",ru,pl,origin,llama2,,all,83.3,102,r_ru_pl_origin_llama2_epoch_ref_tweet_reduced_3.csv,tweet,red
190,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'llama2', 'red': 'red', 'tweet': 'no'}",ua,pl,origin,llama2,,all,83.2,95,r_ua_pl_origin_llama2_epoch_reduced_4.csv,no,red
