,experiment,target,lang,translator,model,tw,type,f1,acc,soubor,tweet,red
,,,,,,,,,,,,
1,"{'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ru,hu,origin,gpt,,all,82.8,83.5,hu_ru_origin_tweet_reduced_gpt-4_5.csv,tweet,red
2,"{'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ru,hu,helsinki,gpt,,all,83.7,84.5,hu_ru_helsinki_tweet_reduced_gpt-4_5.csv,tweet,red
3,"{'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ua,hu,helsinki,gpt,,all,71.3,72.6,hu_ua_helsinki_tweet_reduced_gpt-4_5.csv,tweet,red
4,"{'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ru,cs,helsinki,gpt,,all,68.7,72.1,cs_ru_helsinki_tweet_reduced_gpt-4_5.csv,tweet,red
24,"{'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ru,cs,deepl,gpt,,all,75.4,77.6,cs_ru_deepl_tweet_reduced_gpt-4_5.csv,tweet,red
6,"{'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ua,pl,helsinki,gpt,,all,50.1,54.3,pl_ua_helsinki_tweet_reduced_gpt-4_5.csv,tweet,red
7,"{'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ua,cs,helsinki,gpt,,all,57,58.7,cs_ua_helsinki_tweet_reduced_gpt-4_5.csv,tweet,red
31,"{'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ua,cs,deepl,gpt,,all,65.2,66.1,cs_ua_deepl_tweet_reduced_gpt-4_5.csv,tweet,red
9,"{'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ru,pl,helsinki,gpt,,all,52.2,53.1,pl_ru_helsinki_tweet_gpt-4_3.csv,tweet,no
10,"{'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ru,cs,deepl,gpt,,all,57.9,63.1,cs_ru_deepl_tweet_gpt-4_5.csv,tweet,no
14,"{'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ua,cs,deepl,gpt,,all,51.8,53.7,cs_ua_deepl_tweet_gpt-4_5.csv,tweet,no
12,"{'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ua,hu,helsinki,gpt,,all,60.7,61.8,hu_ua_helsinki_tweet_gpt-4_5.csv,tweet,no
13,"{'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ua,hu,deepl,gpt,,all,66.7,67.5,hu_ua_deepl_tweet_gpt-4_5.csv,tweet,no
19,"{'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ru,hu,deepl,gpt,,all,68.8,70.5,hu_ru_deepl_tweet_gpt-4_5.csv,tweet,no
15,"{'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ua,hu,origin,gpt,,all,67.9,69.8,hu_ua_origin_tweet_reduced_gpt-4_5.csv,tweet,red
16,"{'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ua,pl,helsinki,gpt,,all,45,46.9,pl_ua_helsinki_tweet_gpt-4_4.csv,tweet,no
17,"{'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ru,hu,origin,gpt,,all,74.8,75.5,hu_ru_origin_tweet_gpt-4_5.csv,tweet,no
18,"{'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ru,cs,origin,gpt,,all,53.4,59.9,cs_ru_origin_tweet_gpt-4_5.csv,tweet,no
11,"{'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ua,pl,deepl,gpt,,all,45.3,46.9,pl_ua_deepl_tweet_gpt-4_4.csv,tweet,no
20,"{'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ua,cs,origin,gpt,,all,54.2,56,cs_ua_origin_tweet_reduced_gpt-4_5.csv,tweet,red
21,"{'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ru,cs,origin,gpt,,all,69.8,73.5,cs_ru_origin_tweet_reduced_gpt-4_5.csv,tweet,red
5,"{'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ua,hu,deepl,gpt,,all,78.1,79.2,hu_ua_deepl_tweet_reduced_gpt-4_5.csv,tweet,red
23,"{'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ua,hu,origin,gpt,,all,62.3,65,hu_ua_origin_tweet_gpt-4_5.csv,tweet,no
8,"{'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ru,hu,deepl,gpt,,all,86.9,87.4,hu_ru_deepl_tweet_reduced_gpt-4_5.csv,tweet,red
25,"{'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ua,pl,origin,gpt,,all,49.4,54.3,pl_ua_origin_tweet_reduced_gpt-4_4.csv,tweet,red
26,"{'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ru,pl,origin,gpt,,all,70.3,70.6,pl_ru_origin_tweet_reduced_gpt-4_2.csv,tweet,red
27,"{'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ru,pl,origin,gpt,,all,55.9,55.9,pl_ru_origin_tweet_gpt-4_1.csv,tweet,no
28,"{'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ua,cs,helsinki,gpt,,all,51.8,53.4,cs_ua_helsinki_tweet_gpt-4_5.csv,tweet,no
29,"{'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ua,pl,origin,gpt,,all,44.7,46.2,pl_ua_origin_tweet_gpt-4_3.csv,tweet,no
22,"{'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ua,pl,deepl,gpt,,all,51.6,55.3,pl_ua_deepl_tweet_reduced_gpt-4_5.csv,tweet,red
