,experiment,target,lang,translator,model,tw,type,f1,support,soubor,tweet,red
,,,,,,,,,,,,
1,"{'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ua,hu,origin,gpt,,all,49.4,157,hu_ua_origin_tweet_gpt-4_9.csv,tweet,no
2,"{'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ru,cs,deepl,gpt,,all,58.4,362,cs_ru_deepl_tweet_reduced_gpt-4_3.csv,tweet,red
3,"{'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ru,hu,origin,gpt,,all,67.4,139,hu_ru_origin_tweet_gpt-4_9.csv,tweet,no
4,"{'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ua,hu,helsinki,gpt,,all,48.5,157,hu_ua_helsinki_tweet_gpt-4_9.csv,tweet,no
5,"{'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ua,cs,helsinki,gpt,,all,52.4,298,cs_ua_helsinki_tweet_reduced_gpt-4_5.csv,tweet,red
6,"{'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ru,cs,origin,gpt,,all,45.8,431,cs_ru_origin_tweet_gpt-4_1.csv,tweet,no
7,"{'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ua,cs,origin,gpt,,all,47.6,410,cs_ua_origin_tweet_gpt-4_3.csv,tweet,no
8,"{'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ua,pl,deepl,gpt,,all,44.7,94,pl_ua_deepl_tweet_reduced_gpt-4_9.csv,tweet,red
9,"{'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ua,cs,deepl,gpt,,all,48.8,410,cs_ua_deepl_tweet_gpt-4_4.csv,tweet,no
10,"{'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ua,hu,origin,gpt,,all,65.5,106,hu_ua_origin_tweet_reduced_gpt-4_9.csv,tweet,red
